                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.89163,                  2.218,                 3.5237,                 1.3256,                0.00739,                0.83543,                0.18817,                0.13854,                0.00704,                0.80606,                0.18365,                0.15154,                0.87527,                 1.2979,                 3.4305,                 1.5002,               0.070526,              0.0032749,              0.0032749
                      1,                0.84193,                  1.504,                 2.8797,                 1.2515,                0.32328,                0.46341,                0.35989,                0.26506,                0.32328,                0.46341,                0.36021,                0.28155,                0.91779,                 1.2018,                 2.5133,                 1.4255,               0.040424,               0.006506,               0.006506
                      2,                0.85229,                 1.4662,                 2.2832,                 1.2416,                0.64609,                0.37463,                0.48798,                0.31291,                0.64609,                0.37463,                0.48289,                0.32366,                 1.1271,                 1.5837,                 2.3697,                  1.649,               0.010219,               0.009634,               0.009634
                      3,                0.90786,                 1.5303,                 2.0314,                 1.2833,                0.59519,                0.46311,                0.50088,                0.33292,                0.59519,                0.46311,                0.49754,                0.32688,                 1.1414,                 2.5343,                 2.3615,                 1.6722,              0.0095359,              0.0095359,              0.0095359
                      4,                0.89684,                 1.5026,                 1.8363,                 1.2607,                0.44623,                0.34925,                0.30884,                0.18798,                0.44623,                0.34925,                0.30159,                0.16751,                 1.3613,                 2.4543,                 4.2478,                 1.9894,              0.0095359,              0.0095359,              0.0095359
                      5,                0.89334,                 1.5091,                 1.6976,                 1.2518,                0.71912,                0.39643,                0.53146,                0.35574,                0.59499,                0.40312,                0.51068,                0.32762,                 1.2227,                 2.0615,                 2.2993,                 1.7803,              0.0093813,              0.0093813,              0.0093813
                      6,                0.84938,                 1.4131,                 1.5641,                 1.2255,                0.62607,                0.43677,                 0.5054,                0.35464,                0.63029,                0.43966,                0.50488,                0.35766,                 1.2643,                 1.8907,                 2.2593,                 1.7862,              0.0092266,              0.0092266,              0.0092266
                      7,                0.85084,                 1.3601,                 1.4505,                   1.21,                0.69092,                0.61467,                 0.6636,                0.47594,                0.68458,                0.61837,                0.65893,                0.47821,                 1.0698,                 1.3948,                 1.8031,                 1.5767,              0.0090719,              0.0090719,              0.0090719
                      8,                0.80079,                 1.3767,                 1.3842,                 1.1952,                 0.6206,                0.45865,                0.51463,                0.35273,                0.68781,                0.38734,                0.49081,                0.35382,                 1.1069,                 1.6908,                 2.3406,                 1.5804,              0.0089172,              0.0089172,              0.0089172
                      9,                0.79293,                 1.3045,                 1.3481,                 1.1956,                0.52465,                0.54422,                0.56731,                0.39816,                0.53325,                0.53734,                0.56562,                0.39733,                 1.0472,                 1.5056,                 2.0548,                 1.5378,              0.0087625,              0.0087625,              0.0087625
